,Date,Close,Volume
0,2021-06-21 09-30,3478.5847,130409.0
1,2021-06-21 09-31,3474.5061,40843.0
2,2021-06-21 09-32,3468.5,31286.0
3,2021-06-21 09-33,3468.5352,26472.0
4,2021-06-21 09-34,3467.99,18439.0
5,2021-06-21 09-35,3464.3899,23291.0
6,2021-06-21 09-36,3461.0,35354.0
7,2021-06-21 09-37,3442.3899,58557.0
8,2021-06-21 09-38,3437.6899,55175.0
9,2021-06-21 09-39,3444.23,20832.0
10,2021-06-21 09-40,3444.8376,23607.0
11,2021-06-21 09-41,3439.6899,25578.0
12,2021-06-21 09-42,3445.8672,16743.0
13,2021-06-21 09-43,3452.3145,34659.0
14,2021-06-21 09-44,3459.6299,23788.0
15,2021-06-21 09-45,3459.4399,26299.0
16,2021-06-21 09-46,3452.48,20616.0
17,2021-06-21 09-47,3453.3501,14252.0
18,2021-06-21 09-48,3452.2439,13539.0
19,2021-06-21 09-49,3454.8101,12561.0
20,2021-06-21 09-50,3455.1499,15608.0
21,2021-06-21 09-51,3457.6499,13089.0
22,2021-06-21 09-52,3459.1399,9893.0
23,2021-06-21 09-53,3464.0,14037.0
24,2021-06-21 09-54,3465.48,13225.0
25,2021-06-21 09-55,3473.5891,19999.0
26,2021-06-21 09-56,3473.99,16272.0
27,2021-06-21 09-57,3468.8201,15852.0
28,2021-06-21 09-58,3472.96,11364.0
29,2021-06-21 09-59,3471.25,12450.0
30,2021-06-21 10-00,3469.5801,10298.0
31,2021-06-21 10-01,3468.53,8669.0
32,2021-06-21 10-02,3467.5801,9317.0
33,2021-06-21 10-03,3468.54,8450.0
34,2021-06-21 10-04,3466.8655,7236.0
35,2021-06-21 10-05,3461.0,11768.0
36,2021-06-21 10-06,3461.0449,6714.0
37,2021-06-21 10-07,3455.2432,11933.0
38,2021-06-21 10-08,3459.6499,6974.0
39,2021-06-21 10-09,3455.9153,5434.0
40,2021-06-21 10-10,3454.51,11397.0
41,2021-06-21 10-11,3453.3152,11707.0
42,2021-06-21 10-12,3449.0569,9087.0
43,2021-06-21 10-13,3445.1001,15659.0
44,2021-06-21 10-14,3445.21,14033.0
45,2021-06-21 10-15,3444.97,11042.0
46,2021-06-21 10-16,3447.5049,19282.0
47,2021-06-21 10-17,3444.9348,9631.0
48,2021-06-21 10-18,3442.0,10303.0
49,2021-06-21 10-19,3438.6184,19045.0
50,2021-06-21 10-20,3436.22,17582.0
51,2021-06-21 10-21,3438.864,14170.0
52,2021-06-21 10-22,3441.4849,15439.0
53,2021-06-21 10-23,3441.4399,15683.0
54,2021-06-21 10-24,3443.1399,6459.0
55,2021-06-21 10-25,3443.6699,7161.0
56,2021-06-21 10-26,3445.6001,7566.0
57,2021-06-21 10-27,3447.4299,12370.0
58,2021-06-21 10-28,3446.75,14534.0
59,2021-06-21 10-29,3448.03,9034.0
60,2021-06-21 10-30,3445.01,6560.0
61,2021-06-21 10-31,3450.696,7387.0
62,2021-06-21 10-32,3450.79,6394.0
63,2021-06-21 10-33,3450.24,12362.0
64,2021-06-21 10-34,3448.6875,8477.0
65,2021-06-21 10-35,3449.3691,25800.0
66,2021-06-21 10-36,3451.45,8411.0
67,2021-06-21 10-37,3459.03,19294.0
68,2021-06-21 10-38,3457.01,7462.0
69,2021-06-21 10-39,3457.0,3912.0
70,2021-06-21 10-40,3460.1848,14090.0
71,2021-06-21 10-41,3459.6001,5676.0
72,2021-06-21 10-42,3461.3,7747.0
73,2021-06-21 10-43,3458.5,6046.0
74,2021-06-21 10-44,3458.3899,5653.0
75,2021-06-21 10-45,3460.99,4614.0
76,2021-06-21 10-46,3457.0515,7242.0
77,2021-06-21 10-47,3458.3,5970.0
78,2021-06-21 10-48,3457.6353,4000.0
79,2021-06-21 10-49,3458.21,8323.0
80,2021-06-21 10-50,3460.8101,7881.0
81,2021-06-21 10-51,3462.3999,12036.0
82,2021-06-21 10-52,3462.03,7938.0
83,2021-06-21 10-53,3465.8899,13715.0
84,2021-06-21 10-54,3466.3413,5944.0
85,2021-06-21 10-55,3469.0,5849.0
86,2021-06-21 10-56,3471.0,14401.0
87,2021-06-21 10-57,3470.75,8967.0
88,2021-06-21 10-58,3466.0901,6608.0
89,2021-06-21 10-59,3466.886,6187.0
90,2021-06-21 11-00,3467.6101,7326.0
91,2021-06-21 11-01,3470.4399,4149.0
92,2021-06-21 11-02,3470.22,7656.0
93,2021-06-21 11-03,3473.0,8300.0
94,2021-06-21 11-04,3473.6953,9607.0
95,2021-06-21 11-05,3473.47,3971.0
96,2021-06-21 11-06,3475.2275,6486.0
97,2021-06-21 11-07,3475.3501,7887.0
98,2021-06-21 11-08,3478.01,9169.0
99,2021-06-21 11-09,3477.45,4386.0
100,2021-06-21 11-10,3476.99,5382.0
101,2021-06-21 11-11,3474.1201,10716.0
102,2021-06-21 11-12,3473.9399,4209.0
103,2021-06-21 11-13,3470.4968,10565.0
104,2021-06-21 11-14,3467.3201,7665.0
105,2021-06-21 11-15,3467.0601,3205.0
106,2021-06-21 11-16,3468.05,2375.0
107,2021-06-21 11-17,3465.6201,5552.0
108,2021-06-21 11-18,3464.7368,5327.0
109,2021-06-21 11-19,3466.6848,3326.0
110,2021-06-21 11-20,3465.1899,7579.0
111,2021-06-21 11-21,3466.0889,4937.0
112,2021-06-21 11-22,3468.9048,4704.0
113,2021-06-21 11-23,3469.1648,71863.0
114,2021-06-21 11-24,3466.02,8871.0
115,2021-06-21 11-25,3465.03,2415.0
116,2021-06-21 11-26,3462.0,6667.0
117,2021-06-21 11-27,3464.0049,4457.0
118,2021-06-21 11-28,3469.5,3047.0
119,2021-06-21 11-29,3466.8953,1938.0
120,2021-06-21 11-30,3465.4016,2418.0
121,2021-06-21 11-31,3463.0,5405.0
122,2021-06-21 11-32,3463.23,2068.0
123,2021-06-21 11-33,3462.0,2390.0
124,2021-06-21 11-34,3462.9099,6882.0
125,2021-06-21 11-35,3462.9099,0.0
126,2021-06-21 11-36,3462.1953,2913.0
127,2021-06-21 11-37,3462.78,2936.0
128,2021-06-21 11-38,3461.5701,3318.0
129,2021-06-21 11-39,3464.3999,3465.0
130,2021-06-21 11-40,3464.74,4999.0
131,2021-06-21 11-41,3467.75,3570.0
132,2021-06-21 11-42,3467.2161,79804.0
133,2021-06-21 11-43,3470.77,6035.0
134,2021-06-21 11-44,3470.73,3912.0
135,2021-06-21 11-45,3470.2969,2526.0
136,2021-06-21 11-46,3471.5,3321.0
137,2021-06-21 11-47,3471.7307,5784.0
138,2021-06-21 11-48,3471.6399,8743.0
139,2021-06-21 11-49,3472.8501,2749.0
140,2021-06-21 11-50,3470.7087,2895.0
141,2021-06-21 11-51,3472.6299,5325.0
142,2021-06-21 11-52,3471.04,3007.0
143,2021-06-21 11-53,3470.72,2006.0
144,2021-06-21 11-54,3470.1001,5116.0
145,2021-06-21 11-55,3469.6101,2810.0
146,2021-06-21 11-56,3472.0,5162.0
147,2021-06-21 11-57,3472.95,6626.0
148,2021-06-21 11-58,3470.8596,2619.0
149,2021-06-21 11-59,3473.2075,6103.0
150,2021-06-21 12-00,3476.0,11005.0
151,2021-06-21 12-01,3476.8701,5918.0
152,2021-06-21 12-02,3477.01,3924.0
153,2021-06-21 12-03,3475.8352,2737.0
154,2021-06-21 12-04,3475.5647,1810.0
155,2021-06-21 12-05,3475.26,2942.0
156,2021-06-21 12-06,3475.26,0.0
157,2021-06-21 12-07,3474.53,9123.0
158,2021-06-21 12-08,3474.21,2363.0
159,2021-06-21 12-09,3472.53,2751.0
160,2021-06-21 12-10,3474.52,5921.0
161,2021-06-21 12-11,3472.76,4690.0
162,2021-06-21 12-12,3472.2649,4542.0
163,2021-06-21 12-13,3469.5801,7255.0
164,2021-06-21 12-14,3469.49,4658.0
165,2021-06-21 12-15,3469.8152,1084.0
166,2021-06-21 12-16,3468.99,2336.0
167,2021-06-21 12-17,3469.3501,1610.0
168,2021-06-21 12-18,3469.28,1085.0
169,2021-06-21 12-19,3470.4099,3062.0
170,2021-06-21 12-20,3470.0,3033.0
171,2021-06-21 12-21,3469.0,4072.0
172,2021-06-21 12-22,3469.0,0.0
173,2021-06-21 12-23,3467.03,6952.0
174,2021-06-21 12-24,3467.8689,1504.0
175,2021-06-21 12-25,3468.8101,13943.0
176,2021-06-21 12-26,3469.4353,981.0
177,2021-06-21 12-27,3470.45,2258.0
178,2021-06-21 12-28,3471.4099,2847.0
179,2021-06-21 12-29,3472.1152,4805.0
180,2021-06-21 12-30,3472.8999,5268.0
181,2021-06-21 12-31,3473.0449,4992.0
182,2021-06-21 12-32,3473.0801,3144.0
183,2021-06-21 12-33,3471.8,3849.0
184,2021-06-21 12-34,3472.78,3105.0
185,2021-06-21 12-35,3474.1448,3487.0
186,2021-06-21 12-36,3474.45,2156.0
187,2021-06-21 12-37,3475.05,5209.0
188,2021-06-21 12-38,3473.9399,3151.0
189,2021-06-21 12-39,3474.3501,3073.0
190,2021-06-21 12-40,3473.27,1997.0
191,2021-06-21 12-41,3473.6553,1382.0
192,2021-06-21 12-42,3474.05,1682.0
193,2021-06-21 12-43,3471.7,6767.0
194,2021-06-21 12-44,3473.4199,1519.0
195,2021-06-21 12-45,3472.8101,1274.0
196,2021-06-21 12-46,3474.1399,3702.0
197,2021-06-21 12-47,3474.6299,5930.0
198,2021-06-21 12-48,3474.8809,1093.0
199,2021-06-21 12-49,3472.76,1310.0
200,2021-06-21 12-50,3471.0847,5255.0
201,2021-06-21 12-51,3471.5151,2349.0
202,2021-06-21 12-52,3473.0901,1787.0
203,2021-06-21 12-53,3473.0901,0.0
204,2021-06-21 12-54,3473.51,3755.0
205,2021-06-21 12-55,3472.2395,1296.0
206,2021-06-21 12-56,3469.71,5980.0
207,2021-06-21 12-57,3469.23,4554.0
208,2021-06-21 12-58,3467.8,5676.0
209,2021-06-21 12-59,3467.0,4090.0
210,2021-06-21 13-00,3465.47,7337.0
211,2021-06-21 13-01,3464.8447,2578.0
212,2021-06-21 13-02,3465.54,3235.0
213,2021-06-21 13-03,3466.9619,3002.0
214,2021-06-21 13-04,3464.6101,3247.0
215,2021-06-21 13-05,3465.4673,1567.0
216,2021-06-21 13-06,3464.5701,2176.0
217,2021-06-21 13-07,3465.3999,3147.0
218,2021-06-21 13-08,3464.0161,2416.0
219,2021-06-21 13-09,3465.7651,1130.0
220,2021-06-21 13-10,3466.52,2325.0
221,2021-06-21 13-11,3464.04,3462.0
222,2021-06-21 13-12,3465.7476,1477.0
223,2021-06-21 13-13,3465.9048,2377.0
224,2021-06-21 13-14,3463.8848,4227.0
225,2021-06-21 13-15,3463.4399,3362.0
226,2021-06-21 13-16,3464.4199,3484.0
227,2021-06-21 13-17,3464.3101,3387.0
228,2021-06-21 13-18,3464.3101,0.0
229,2021-06-21 13-19,3463.78,2063.0
230,2021-06-21 13-20,3463.3953,2472.0
231,2021-06-21 13-21,3463.3953,0.0
232,2021-06-21 13-22,3463.3501,3605.0
233,2021-06-21 13-23,3464.1499,970.0
234,2021-06-21 13-24,3463.6001,1826.0
235,2021-06-21 13-25,3463.3301,923.0
236,2021-06-21 13-26,3464.6299,3734.0
237,2021-06-21 13-27,3464.1992,1136.0
238,2021-06-21 13-28,3463.342,1664.0
239,2021-06-21 13-29,3462.76,4833.0
240,2021-06-21 13-30,3462.8164,7332.0
241,2021-06-21 13-31,3464.9199,4236.0
242,2021-06-21 13-32,3463.75,3619.0
243,2021-06-21 13-33,3464.3992,5070.0
244,2021-06-21 13-34,3465.3999,2542.0
245,2021-06-21 13-35,3465.05,1645.0
246,2021-06-21 13-36,3465.1152,3165.0
247,2021-06-21 13-37,3465.1101,1562.0
248,2021-06-21 13-38,3465.1201,3137.0
249,2021-06-21 13-39,3464.7751,1298.0
250,2021-06-21 13-40,3467.4688,12261.0
251,2021-06-21 13-41,3466.8101,2001.0
252,2021-06-21 13-42,3466.8,1858.0
253,2021-06-21 13-43,3467.1101,3662.0
254,2021-06-21 13-44,3466.8389,1886.0
255,2021-06-21 13-45,3464.8101,3008.0
256,2021-06-21 13-46,3463.0,7414.0
257,2021-06-21 13-47,3464.1553,1551.0
258,2021-06-21 13-48,3464.1553,0.0
259,2021-06-21 13-49,3465.75,4343.0
260,2021-06-21 13-50,3465.8447,1504.0
261,2021-06-21 13-51,3466.0,6076.0
262,2021-06-21 13-52,3466.2,2409.0
263,2021-06-21 13-53,3464.1399,5542.0
264,2021-06-21 13-54,3463.4731,1982.0
265,2021-06-21 13-55,3462.8247,2395.0
266,2021-06-21 13-56,3461.7607,4005.0
267,2021-06-21 13-57,3461.1479,4991.0
268,2021-06-21 13-58,3461.5007,1727.0
269,2021-06-21 13-59,3462.0,2034.0
270,2021-06-21 14-00,3460.77,2972.0
271,2021-06-21 14-01,3462.6497,2636.0
272,2021-06-21 14-02,3460.99,1306.0
273,2021-06-21 14-03,3460.2,2050.0
274,2021-06-21 14-04,3459.0,10750.0
275,2021-06-21 14-05,3459.4199,3978.0
276,2021-06-21 14-06,3460.95,3977.0
277,2021-06-21 14-07,3460.95,0.0
278,2021-06-21 14-08,3460.9099,2239.0
279,2021-06-21 14-09,3461.5,1854.0
280,2021-06-21 14-10,3459.8247,1334.0
281,2021-06-21 14-11,3460.1799,3910.0
282,2021-06-21 14-12,3459.7,4898.0
283,2021-06-21 14-13,3459.7,0.0
284,2021-06-21 14-14,3459.75,2479.0
285,2021-06-21 14-15,3460.25,2490.0
286,2021-06-21 14-16,3461.2,2771.0
287,2021-06-21 14-17,3462.0408,1945.0
288,2021-06-21 14-18,3462.0408,0.0
289,2021-06-21 14-19,3461.5801,3293.0
290,2021-06-21 14-20,3461.0952,1639.0
291,2021-06-21 14-21,3462.74,3284.0
292,2021-06-21 14-22,3463.3601,3174.0
293,2021-06-21 14-23,3463.1599,2223.0
294,2021-06-21 14-24,3463.7175,2209.0
295,2021-06-21 14-25,3463.4099,4237.0
296,2021-06-21 14-26,3463.5647,2097.0
297,2021-06-21 14-27,3463.8899,2541.0
298,2021-06-21 14-28,3465.3848,4566.0
299,2021-06-21 14-29,3465.97,3858.0
300,2021-06-21 14-30,3465.0701,2474.0
301,2021-06-21 14-31,3462.8,3713.0
302,2021-06-21 14-32,3462.1001,2905.0
303,2021-06-21 14-33,3461.45,3944.0
304,2021-06-21 14-34,3464.1699,2278.0
305,2021-06-21 14-35,3462.5952,2151.0
306,2021-06-21 14-36,3459.97,7100.0
307,2021-06-21 14-37,3459.0,12609.0
308,2021-06-21 14-38,3458.22,6723.0
309,2021-06-21 14-39,3457.02,3669.0
310,2021-06-21 14-40,3456.8701,4243.0
311,2021-06-21 14-41,3457.23,1927.0
312,2021-06-21 14-42,3456.9248,3077.0
313,2021-06-21 14-43,3459.1299,4280.0
314,2021-06-21 14-44,3458.0801,2197.0
315,2021-06-21 14-45,3458.6799,1487.0
316,2021-06-21 14-46,3458.6553,4236.0
317,2021-06-21 14-47,3458.6101,2446.0
318,2021-06-21 14-48,3458.6101,0.0
319,2021-06-21 14-49,3458.3701,4418.0
320,2021-06-21 14-50,3458.5,2312.0
321,2021-06-21 14-51,3458.9551,962.0
322,2021-06-21 14-52,3460.0901,2803.0
323,2021-06-21 14-53,3460.644,1653.0
324,2021-06-21 14-54,3462.4399,4439.0
325,2021-06-21 14-55,3462.3701,2111.0
326,2021-06-21 14-56,3463.7117,2290.0
327,2021-06-21 14-57,3463.0759,5561.0
328,2021-06-21 14-58,3463.46,831.0
329,2021-06-21 14-59,3461.51,8968.0
