,Date,Close,Volume
0,2021-10-04 09-30,3273.575,103353.0
1,2021-10-04 09-31,3268.0784,19910.0
2,2021-10-04 09-32,3265.4651,12988.0
3,2021-10-04 09-33,3258.5,13810.0
4,2021-10-04 09-34,3259.3501,12167.0
5,2021-10-04 09-35,3256.78,26230.0
6,2021-10-04 09-36,3248.77,38126.0
7,2021-10-04 09-37,3248.51,21922.0
8,2021-10-04 09-38,3246.7949,19093.0
9,2021-10-04 09-39,3248.0,15540.0
10,2021-10-04 09-40,3244.0701,13697.0
11,2021-10-04 09-41,3242.0249,16425.0
12,2021-10-04 09-42,3241.48,16281.0
13,2021-10-04 09-43,3235.095,31903.0
14,2021-10-04 09-44,3235.75,13242.0
15,2021-10-04 09-45,3235.5701,13782.0
16,2021-10-04 09-46,3236.29,12515.0
17,2021-10-04 09-47,3227.8701,30709.0
18,2021-10-04 09-48,3224.2749,19144.0
19,2021-10-04 09-49,3225.343,29774.0
20,2021-10-04 09-50,3229.1736,16308.0
21,2021-10-04 09-51,3232.5601,9602.0
22,2021-10-04 09-52,3234.0,13841.0
23,2021-10-04 09-53,3230.0,8397.0
24,2021-10-04 09-54,3229.9399,12877.0
25,2021-10-04 09-55,3227.54,13199.0
26,2021-10-04 09-56,3227.78,9807.0
27,2021-10-04 09-57,3232.4578,6361.0
28,2021-10-04 09-58,3235.0,11988.0
29,2021-10-04 09-59,3233.3401,9441.0
30,2021-10-04 10-00,3231.5701,14627.0
31,2021-10-04 10-01,3223.9099,19001.0
32,2021-10-04 10-02,3216.6599,29210.0
33,2021-10-04 10-03,3212.3899,37409.0
34,2021-10-04 10-04,3216.0649,18700.0
35,2021-10-04 10-05,3216.832,18426.0
36,2021-10-04 10-06,3217.7649,8169.0
37,2021-10-04 10-07,3215.0,9396.0
38,2021-10-04 10-08,3213.77,10910.0
39,2021-10-04 10-09,3215.95,11948.0
40,2021-10-04 10-10,3211.5601,12958.0
41,2021-10-04 10-11,3209.29,19911.0
42,2021-10-04 10-12,3211.2849,12480.0
43,2021-10-04 10-13,3210.0701,10304.0
44,2021-10-04 10-14,3210.76,8115.0
45,2021-10-04 10-15,3206.4851,18753.0
46,2021-10-04 10-16,3208.2671,14179.0
47,2021-10-04 10-17,3209.6001,13696.0
48,2021-10-04 10-18,3205.8201,13905.0
49,2021-10-04 10-19,3201.625,19243.0
50,2021-10-04 10-20,3203.25,19993.0
51,2021-10-04 10-21,3205.3601,11496.0
52,2021-10-04 10-22,3205.1001,9586.0
53,2021-10-04 10-23,3206.96,11117.0
54,2021-10-04 10-24,3204.7832,14906.0
55,2021-10-04 10-25,3206.03,6285.0
56,2021-10-04 10-26,3205.8301,10013.0
57,2021-10-04 10-27,3206.6799,9823.0
58,2021-10-04 10-28,3209.0,11559.0
59,2021-10-04 10-29,3209.845,11146.0
60,2021-10-04 10-30,3205.0,9820.0
61,2021-10-04 10-31,3208.0,7656.0
62,2021-10-04 10-32,3206.26,8346.0
63,2021-10-04 10-33,3203.8201,10623.0
64,2021-10-04 10-34,3198.9011,47059.0
65,2021-10-04 10-35,3194.5732,23668.0
66,2021-10-04 10-36,3194.3701,15655.0
67,2021-10-04 10-37,3190.1101,28120.0
68,2021-10-04 10-38,3185.9363,28589.0
69,2021-10-04 10-39,3188.7351,25391.0
70,2021-10-04 10-40,3190.4299,15175.0
71,2021-10-04 10-41,3193.6499,20590.0
72,2021-10-04 10-42,3196.8701,26929.0
73,2021-10-04 10-43,3192.74,30046.0
74,2021-10-04 10-44,3190.7649,21426.0
75,2021-10-04 10-45,3188.02,25791.0
76,2021-10-04 10-46,3187.6499,9411.0
77,2021-10-04 10-47,3189.9399,13887.0
78,2021-10-04 10-48,3186.4351,10294.0
79,2021-10-04 10-49,3187.1899,17569.0
80,2021-10-04 10-50,3185.0,6808.0
81,2021-10-04 10-51,3186.1799,23148.0
82,2021-10-04 10-52,3185.105,7995.0
83,2021-10-04 10-53,3185.6899,14798.0
84,2021-10-04 10-54,3184.6299,16216.0
85,2021-10-04 10-55,3188.675,20243.0
86,2021-10-04 10-56,3190.54,11170.0
87,2021-10-04 10-57,3193.3301,29469.0
88,2021-10-04 10-58,3191.8301,14592.0
89,2021-10-04 10-59,3199.3999,17987.0
90,2021-10-04 11-00,3200.1299,16899.0
91,2021-10-04 11-01,3197.9851,7161.0
92,2021-10-04 11-02,3196.0901,10459.0
93,2021-10-04 11-03,3193.8401,7322.0
94,2021-10-04 11-04,3195.8701,8757.0
95,2021-10-04 11-05,3192.0701,5866.0
96,2021-10-04 11-06,3194.2883,10681.0
97,2021-10-04 11-07,3192.8765,8906.0
98,2021-10-04 11-08,3198.1101,7565.0
99,2021-10-04 11-09,3197.5701,8633.0
100,2021-10-04 11-10,3197.0,7421.0
101,2021-10-04 11-11,3197.6599,12679.0
102,2021-10-04 11-12,3200.01,18948.0
103,2021-10-04 11-13,3199.1194,8709.0
104,2021-10-04 11-14,3202.3701,6880.0
105,2021-10-04 11-15,3198.0,7211.0
106,2021-10-04 11-16,3199.6599,5723.0
107,2021-10-04 11-17,3201.75,9271.0
108,2021-10-04 11-18,3199.335,9068.0
109,2021-10-04 11-19,3197.6899,7537.0
110,2021-10-04 11-20,3197.9299,4319.0
111,2021-10-04 11-21,3200.24,5737.0
112,2021-10-04 11-22,3197.0601,7542.0
113,2021-10-04 11-23,3196.8,9245.0
114,2021-10-04 11-24,3192.8621,7198.0
115,2021-10-04 11-25,3191.04,7430.0
116,2021-10-04 11-26,3191.6851,9476.0
117,2021-10-04 11-27,3192.49,12868.0
118,2021-10-04 11-28,3192.6001,6563.0
119,2021-10-04 11-29,3192.1799,4349.0
120,2021-10-04 11-30,3192.0464,7470.0
121,2021-10-04 11-31,3189.05,8525.0
122,2021-10-04 11-32,3186.9951,6874.0
123,2021-10-04 11-33,3188.5,6580.0
124,2021-10-04 11-34,3188.21,5980.0
125,2021-10-04 11-35,3188.4651,8127.0
126,2021-10-04 11-36,3187.0,6295.0
127,2021-10-04 11-37,3186.0,9030.0
128,2021-10-04 11-38,3184.0525,13030.0
129,2021-10-04 11-39,3184.0249,4257.0
130,2021-10-04 11-40,3185.97,9015.0
131,2021-10-04 11-41,3186.3799,7546.0
132,2021-10-04 11-42,3183.0,4739.0
133,2021-10-04 11-43,3184.75,5107.0
134,2021-10-04 11-44,3186.6201,8143.0
135,2021-10-04 11-45,3186.9099,8505.0
136,2021-10-04 11-46,3187.77,5997.0
137,2021-10-04 11-47,3191.0471,7398.0
138,2021-10-04 11-48,3193.6001,13743.0
139,2021-10-04 11-49,3195.4199,15039.0
140,2021-10-04 11-50,3199.5105,21444.0
141,2021-10-04 11-51,3196.97,9641.0
142,2021-10-04 11-52,3198.23,8963.0
143,2021-10-04 11-53,3202.1299,15036.0
144,2021-10-04 11-54,3202.6001,11902.0
145,2021-10-04 11-55,3203.3831,12656.0
146,2021-10-04 11-56,3205.5842,11644.0
147,2021-10-04 11-57,3207.1699,7576.0
148,2021-10-04 11-58,3209.5415,9322.0
149,2021-10-04 11-59,3209.0049,8680.0
150,2021-10-04 12-00,3207.325,9348.0
151,2021-10-04 12-01,3207.3401,5397.0
152,2021-10-04 12-02,3204.2251,5013.0
153,2021-10-04 12-03,3203.6499,6354.0
154,2021-10-04 12-04,3203.49,4473.0
155,2021-10-04 12-05,3203.5701,3410.0
156,2021-10-04 12-06,3203.3101,8612.0
157,2021-10-04 12-07,3204.1799,5821.0
158,2021-10-04 12-08,3203.96,2241.0
159,2021-10-04 12-09,3202.7351,5653.0
160,2021-10-04 12-10,3203.25,2884.0
161,2021-10-04 12-11,3200.9099,3733.0
162,2021-10-04 12-12,3202.48,4342.0
163,2021-10-04 12-13,3204.0,6963.0
164,2021-10-04 12-14,3202.8347,3943.0
165,2021-10-04 12-15,3205.77,4108.0
166,2021-10-04 12-16,3203.085,6504.0
167,2021-10-04 12-17,3202.9172,7063.0
168,2021-10-04 12-18,3203.0701,3945.0
169,2021-10-04 12-19,3201.0,4631.0
170,2021-10-04 12-20,3199.1799,8680.0
171,2021-10-04 12-21,3197.1299,5456.0
172,2021-10-04 12-22,3192.5122,20261.0
173,2021-10-04 12-23,3188.23,16766.0
174,2021-10-04 12-24,3189.8601,7431.0
175,2021-10-04 12-25,3187.01,13847.0
176,2021-10-04 12-26,3189.8301,11279.0
177,2021-10-04 12-27,3189.3989,5349.0
178,2021-10-04 12-28,3190.4199,6754.0
179,2021-10-04 12-29,3188.5049,6353.0
180,2021-10-04 12-30,3188.0801,5731.0
181,2021-10-04 12-31,3191.335,6450.0
182,2021-10-04 12-32,3191.345,7888.0
183,2021-10-04 12-33,3191.9851,3798.0
184,2021-10-04 12-34,3195.05,7141.0
185,2021-10-04 12-35,3194.4299,3126.0
186,2021-10-04 12-36,3194.0,5114.0
