,Date,Close,Volume,rolling_close,rolling_volume
167,2021-05-10 12-17,3226.582,13277.0,3221.49646,10236.4
168,2021-05-10 12-18,3226.98,11740.0,3221.364026666667,10005.983333333334
169,2021-05-10 12-19,3224.925,8087.0,3221.2715249999997,9828.933333333332
170,2021-05-10 12-20,3223.52,7682.0,3221.2041916666662,9613.833333333334
171,2021-05-10 12-21,3225.05,10796.0,3221.1751100000006,9533.916666666666
172,2021-05-10 12-22,3222.7104,10683.0,3221.1389433333334,9391.466666666667
173,2021-05-10 12-23,3223.614,4147.0,3221.168025,9364.033333333333
174,2021-05-10 12-24,3228.1101,8097.0,3221.2067733333333,9507.75
175,2021-05-10 12-25,3228.71,15313.0,3221.2198583333334,9566.05
176,2021-05-10 12-26,3226.645,7352.0,3221.222275,9272.8
177,2021-05-10 12-27,3224.8,6712.0,3221.19186,9282.083333333334
178,2021-05-10 12-28,3222.79,12320.0,3221.085833333333,9285.65
179,2021-05-10 12-29,3219.26,14867.0,3221.0183316666667,9238.666666666666
180,2021-05-10 12-30,3218.998,18817.0,3220.945228333333,9121.266666666666
181,2021-05-10 12-31,3217.8701,3301.0,3220.848895,9103.466666666667
182,2021-05-10 12-32,3216.8401,3283.0,3220.7348933333333,9073.9
183,2021-05-10 12-33,3217.1699,3356.0,3220.6635666666666,8943.016666666666
184,2021-05-10 12-34,3217.46,4061.0,3220.6051483333335,8851.533333333333
185,2021-05-10 12-35,3216.51,6989.0,3220.56465,8775.95
186,2021-05-10 12-36,3217.6399,2940.0,3220.5080866666667,8729.466666666667
187,2021-05-10 12-37,3217.655,4039.0,3220.45692,8771.633333333333
188,2021-05-10 12-38,3215.74,9752.0,3220.398835,8719.616666666667
189,2021-05-10 12-39,3218.3601,14219.0,3220.3411683333334,8711.066666666668
190,2021-05-10 12-40,3218.7039,4390.0,3220.2988383333336,8678.783333333333
191,2021-05-10 12-41,3216.0801,3780.0,3220.2840883333333,8473.316666666668
192,2021-05-10 12-42,3214.05,14466.0,3220.211021666667,8309.8
193,2021-05-10 12-43,3213.77,23255.0,3220.129125,8127.333333333333
194,2021-05-10 12-44,3214.7,7625.0,3220.0369466666666,8072.55
195,2021-05-10 12-45,3212.822,31231.0,3219.9634483333334,7994.766666666666
196,2021-05-10 12-46,3214.54,10432.0,3219.885616666667,7868.866666666667
197,2021-05-10 12-47,3217.0789,16993.0,3219.81945,7679.8
198,2021-05-10 12-48,3219.27,9337.0,3219.749748333333,7510.416666666667
199,2021-05-10 12-49,3217.74,4127.0,3219.6912483333335,7359.6
200,2021-05-10 12-50,3217.425,5892.0,3219.6184999999996,7324.566666666667
201,2021-05-10 12-51,3218.3,2498.0,3219.594721666667,7239.283333333334
202,2021-05-10 12-52,3220.3999,8792.0,3219.526973333333,7091.416666666667
203,2021-05-10 12-53,3222.395,16324.0,3219.518885,6979.4
204,2021-05-10 12-54,3222.0349,10026.0,3219.5419850000003,6963.966666666666
205,2021-05-10 12-55,3222.0349,0.0,3219.4718149999994,6907.75
206,2021-05-10 12-56,3219.585,9382.0,3219.3811483333334,6733.033333333334
207,2021-05-10 12-57,3217.2949,6306.0,3219.331063333333,6666.866666666667
208,2021-05-10 12-58,3219.3,2586.0,3219.3200616666663,6599.1
209,2021-05-10 12-59,3217.9727,3263.0,3219.336395,6449.566666666667
210,2021-05-10 13-00,3218.6499,2453.0,3219.4178933333333,6235.933333333333
211,2021-05-10 13-01,3217.1899,1860.0,3219.49276,6121.416666666667
212,2021-05-10 13-02,3216.655,5173.0,3219.54626,6178.75
213,2021-05-10 13-03,3218.1699,5988.0,3219.582261666667,6178.616666666667
214,2021-05-10 13-04,3220.5801,5150.0,3219.5726799999998,6234.866666666667
215,2021-05-10 13-05,3219.9651,2544.0,3219.559678333333,6278.25
216,2021-05-10 13-06,3217.73,5185.0,3219.5300116666667,6317.2
217,2021-05-10 13-07,3218.0,3547.0,3219.47268,6328.166666666667
218,2021-05-10 13-08,3218.5,2192.0,3219.4220983333335,6356.3
219,2021-05-10 13-09,3219.6101,3466.0,3219.438183333333,6283.183333333333
220,2021-05-10 13-10,3218.6499,5434.0,3219.4571816666667,6147.45
221,2021-05-10 13-11,3221.1609,4049.0,3219.4272816666667,6181.15
222,2021-05-10 13-12,3221.0901,2797.0,3219.442613333333,6162.433333333333
223,2021-05-10 13-13,3220.6592,4808.0,3219.476281666667,6021.266666666666
224,2021-05-10 13-14,3222.3401,7572.0,3219.5443933333327,5695.7
225,2021-05-10 13-15,3223.23,4171.0,3219.568891666667,5635.05
226,2021-05-10 13-16,3223.55,1864.0,3219.6343583333332,5170.3
227,2021-05-10 13-17,3222.3999,3114.0,3219.6777750000006,5048.683333333333
228,2021-05-10 13-18,3223.47,2691.0,3219.666791666666,4837.033333333334
229,2021-05-10 13-19,3220.5601,5985.0,3219.635998333333,4724.133333333333
230,2021-05-10 13-20,3222.0933,2565.0,3219.6286649999997,4710.616666666667
231,2021-05-10 13-21,3220.9851,1924.0,3219.638748333333,4668.75
232,2021-05-10 13-22,3222.2251,3962.0,3219.604748333333,4717.1
233,2021-05-10 13-23,3225.0,3221.0,3219.5374183333333,4619.966666666666
234,2021-05-10 13-24,3223.8999,4724.0,3219.463335,4405.75
235,2021-05-10 13-25,3223.27,4830.0,3219.370171666667,4287.6
236,2021-05-10 13-26,3223.6399,3382.0,3219.2658383333332,4338.216666666666
237,2021-05-10 13-27,3224.1399,2646.0,3219.1929216666667,4254.65
238,2021-05-10 13-28,3223.77,3348.0,3219.1430066666667,4230.55
239,2021-05-10 13-29,3224.1499,2049.0,3219.0970883333334,4349.633333333333
240,2021-05-10 13-30,3223.49,11946.0,3219.0310433333334,4413.833333333333
241,2021-05-10 13-31,3221.0801,6741.0,3218.9385466666668,4484.55
242,2021-05-10 13-32,3219.0002,3275.0,3218.8353816666668,4596.116666666667
243,2021-05-10 13-33,3216.595,6731.0,3218.7563816666666,4650.5
244,2021-05-10 13-34,3216.6799,6664.0,3218.597548333333,4816.816666666667
245,2021-05-10 13-35,3214.73,9326.0,3218.45388,4814.333333333333
246,2021-05-10 13-36,3214.2,3598.0,3218.2877949999997,4842.183333333333
247,2021-05-10 13-37,3214.6201,5727.0,3218.1727966666667,4874.216666666666
248,2021-05-10 13-38,3216.7051,5365.0,3218.0652116666665,4874.483333333334
249,2021-05-10 13-39,3219.5,6075.0,3217.93021,4984.083333333333
250,2021-05-10 13-40,3216.9099,6412.0,3217.7687066666667,4975.683333333333
251,2021-05-10 13-41,3217.0,2657.0,3217.576873333333,5111.133333333333
252,2021-05-10 13-42,3216.0701,5996.0,3217.3048599999997,5335.666666666667
253,2021-05-10 13-43,3217.8567,3721.0,3217.0366916666667,5489.95
