,Date,Close,Volume
0,2021-07-12 09-30,3736.03,92394.0
1,2021-07-12 09-31,3745.8101,58401.0
2,2021-07-12 09-32,3757.1201,31698.0
3,2021-07-12 09-33,3739.75,31099.0
4,2021-07-12 09-34,3749.02,27405.0
5,2021-07-12 09-35,3746.8899,19292.0
6,2021-07-12 09-36,3736.2903,23766.0
7,2021-07-12 09-37,3738.4399,24191.0
8,2021-07-12 09-38,3731.04,23945.0
9,2021-07-12 09-39,3728.71,26754.0
10,2021-07-12 09-40,3730.6599,19759.0
11,2021-07-12 09-41,3733.9353,21865.0
12,2021-07-12 09-42,3736.0481,21746.0
13,2021-07-12 09-43,3738.9299,20260.0
14,2021-07-12 09-44,3733.77,12012.0
15,2021-07-12 09-45,3733.71,13119.0
16,2021-07-12 09-46,3727.8501,15271.0
17,2021-07-12 09-47,3727.8501,0.0
18,2021-07-12 09-48,3732.1001,26071.0
19,2021-07-12 09-49,3728.6201,8569.0
20,2021-07-12 09-50,3724.4153,13741.0
21,2021-07-12 09-51,3729.4199,14238.0
22,2021-07-12 09-52,3727.2815,7886.0
23,2021-07-12 09-53,3729.54,11867.0
24,2021-07-12 09-54,3723.2649,10505.0
25,2021-07-12 09-55,3722.45,14272.0
26,2021-07-12 09-56,3721.1152,8657.0
27,2021-07-12 09-57,3719.5647,10393.0
28,2021-07-12 09-58,3719.5647,0.0
29,2021-07-12 09-59,3721.76,14869.0
30,2021-07-12 10-00,3727.0,14412.0
31,2021-07-12 10-01,3722.0176,10723.0
32,2021-07-12 10-02,3716.9099,17496.0
33,2021-07-12 10-03,3718.6101,7331.0
34,2021-07-12 10-04,3714.03,10823.0
35,2021-07-12 10-05,3714.8799,7604.0
36,2021-07-12 10-06,3712.2849,18644.0
37,2021-07-12 10-07,3712.2849,0.0
38,2021-07-12 10-08,3715.4751,35996.0
39,2021-07-12 10-09,3715.99,9214.0
40,2021-07-12 10-10,3714.6499,6622.0
41,2021-07-12 10-11,3712.9048,5553.0
42,2021-07-12 10-12,3714.8047,6748.0
43,2021-07-12 10-13,3717.73,6995.0
44,2021-07-12 10-14,3717.99,10686.0
45,2021-07-12 10-15,3716.3865,5519.0
46,2021-07-12 10-16,3703.8,20287.0
47,2021-07-12 10-17,3707.54,12497.0
48,2021-07-12 10-18,3709.3999,9547.0
49,2021-07-12 10-19,3707.9399,7695.0
50,2021-07-12 10-20,3709.0,4662.0
51,2021-07-12 10-21,3713.99,8277.0
52,2021-07-12 10-22,3709.53,8258.0
53,2021-07-12 10-23,3709.53,0.0
54,2021-07-12 10-24,3709.8,3228.0
55,2021-07-12 10-25,3709.8,0.0
56,2021-07-12 10-26,3713.99,4538.0
57,2021-07-12 10-27,3713.99,0.0
58,2021-07-12 10-28,3716.136,14041.0
59,2021-07-12 10-29,3715.8701,3994.0
60,2021-07-12 10-30,3716.1699,5739.0
61,2021-07-12 10-31,3715.8501,9487.0
62,2021-07-12 10-32,3715.8501,0.0
63,2021-07-12 10-33,3716.6299,11688.0
64,2021-07-12 10-34,3720.0,8043.0
65,2021-07-12 10-35,3720.24,15444.0
66,2021-07-12 10-36,3720.6799,11606.0
67,2021-07-12 10-37,3723.99,6528.0
68,2021-07-12 10-38,3720.0,7497.0
69,2021-07-12 10-39,3720.0,4384.0
70,2021-07-12 10-40,3714.4199,9733.0
71,2021-07-12 10-41,3714.4199,0.0
72,2021-07-12 10-42,3715.1584,9965.0
73,2021-07-12 10-43,3715.1584,0.0
74,2021-07-12 10-44,3719.01,9491.0
75,2021-07-12 10-45,3719.01,0.0
76,2021-07-12 10-46,3713.6653,4998.0
77,2021-07-12 10-47,3717.5151,3170.0
78,2021-07-12 10-48,3718.79,4327.0
79,2021-07-12 10-49,3715.8423,3498.0
80,2021-07-12 10-50,3718.0901,4075.0
81,2021-07-12 10-51,3719.8391,3846.0
82,2021-07-12 10-52,3719.8391,0.0
83,2021-07-12 10-53,3718.01,16161.0
84,2021-07-12 10-54,3720.51,7517.0
85,2021-07-12 10-55,3720.6001,8605.0
86,2021-07-12 10-56,3722.3352,4231.0
87,2021-07-12 10-57,3722.7305,6060.0
88,2021-07-12 10-58,3720.3201,30190.0
89,2021-07-12 10-59,3720.6001,2844.0
