,Date,Close,Volume,rolling_close,rolling_volume
82,2021-05-10 10-52,3221.0701,20353.0,3221.8441716666666,18068.166666666668
83,2021-05-10 10-53,3219.1201,14530.0,3221.468541666667,18060.93333333333
84,2021-05-10 10-54,3219.2017,22236.0,3221.134623333333,17944.916666666668
85,2021-05-10 10-55,3222.3301,21483.0,3220.80479,17951.716666666667
86,2021-05-10 10-56,3219.3501,14524.0,3220.49229,17845.25
87,2021-05-10 10-57,3216.887,26918.0,3220.062708333333,17615.566666666666
88,2021-05-10 10-58,3217.4299,13115.0,3219.70304,17705.3
89,2021-05-10 10-59,3217.3884,19224.0,3219.375126666667,17699.05
90,2021-05-10 11-00,3220.49,24462.0,3219.0331266666667,17819.766666666666
91,2021-05-10 11-01,3214.6399,27171.0,3218.777515,17689.35
92,2021-05-10 11-02,3218.1499,21212.0,3218.518348333333,17799.766666666666
93,2021-05-10 11-03,3217.96,9696.0,3218.2133516666668,17827.25
94,2021-05-10 11-04,3213.345,20925.0,3217.954685,17756.15
95,2021-05-10 11-05,3213.7451,25212.0,3217.7531883333336,17693.616666666665
96,2021-05-10 11-06,3215.0352,25851.0,3217.455358333333,17673.733333333334
97,2021-05-10 11-07,3214.52,7250.0,3217.205358333333,17597.466666666667
98,2021-05-10 11-08,3216.4299,13757.0,3216.9051916666663,17564.066666666666
99,2021-05-10 11-09,3215.6499,8946.0,3216.652275,17899.833333333332
100,2021-05-10 11-10,3215.28,19828.0,3216.434595,17713.566666666666
101,2021-05-10 11-11,3212.8401,16928.0,3216.24176,17844.666666666668
102,2021-05-10 11-12,3211.2549,23387.0,3216.08414,17766.016666666666
103,2021-05-10 11-13,3209.0,21081.0,3215.979891666667,17676.516666666666
104,2021-05-10 11-14,3210.49,13598.0,3215.895808333333,17596.333333333332
105,2021-05-10 11-15,3210.635,13740.0,3215.856075,17442.766666666666
106,2021-05-10 11-16,3210.5901,5348.0,3215.8532016666663,17470.633333333335
107,2021-05-10 11-17,3211.0,10247.0,3215.9387850000003,17236.233333333334
108,2021-05-10 11-18,3211.8501,6108.0,3216.037198333333,17530.783333333333
109,2021-05-10 11-19,3212.366,13530.0,3216.095866666667,17489.416666666668
110,2021-05-10 11-20,3216.6001,24824.0,3216.171366666667,17404.2
111,2021-05-10 11-21,3217.5801,17764.0,3216.165365,17121.416666666668
112,2021-05-10 11-22,3214.0801,12529.0,3216.125851666666,16859.566666666666
113,2021-05-10 11-23,3216.825,9139.0,3216.0856,16694.316666666666
114,2021-05-10 11-24,3213.72,16929.0,3216.1014333333337,16580.5
115,2021-05-10 11-25,3213.24,13082.0,3216.135568333333,16318.7
116,2021-05-10 11-26,3210.0701,16811.0,3216.128231666667,16253.9
117,2021-05-10 11-27,3208.9199,19754.0,3216.1625616666665,16158.916666666666
118,2021-05-10 11-28,3211.4651,20069.0,3216.2753866666667,15811.816666666668
119,2021-05-10 11-29,3208.53,18799.0,3216.3740566666665,15683.316666666668
120,2021-05-10 11-30,3211.6433,20774.0,3216.4568983333334,15534.7
121,2021-05-10 11-31,3213.45,23916.0,3216.522563333333,15185.683333333332
122,2021-05-10 11-32,3211.6101,19482.0,3216.679065,14793.4
123,2021-05-10 11-33,3212.8999,16340.0,3216.725476666667,14656.966666666667
124,2021-05-10 11-34,3216.5801,17810.0,3216.787393333333,14686.65
125,2021-05-10 11-35,3213.8201,13446.0,3216.9484766666665,14499.316666666668
126,2021-05-10 11-36,3214.51,6176.0,3217.1087066666664,14168.0
127,2021-05-10 11-37,3215.49,19332.0,3217.204786666667,13781.4
128,2021-05-10 11-38,3218.325,20146.0,3217.3208716666663,13771.7
129,2021-05-10 11-39,3217.6201,16965.0,3217.41304,13587.5
130,2021-05-10 11-40,3220.27,14290.0,3217.521373333333,13528.45
131,2021-05-10 11-41,3218.4478,6137.0,3217.5922883333337,13494.016666666666
