,NLS Time (ET),NLS Price,NLS Share Volume
1,09:59:58,$ 3212.00,100
2,09:59:58,$ 3211.56,100
3,09:59:55,$ 3211.00,100
4,09:59:55,$ 3211.00,100
5,09:59:52,$ 3210.78,100
6,09:59:52,$ 3210.78,100
7,09:59:44,$ 3211.00,100
8,09:59:43,$ 3211.00,100
9,09:59:43,$ 3211.00,100
10,09:59:43,$ 3211.00,100
11,09:59:43,$ 3211.00,100
12,09:59:43,$ 3211.00,100
13,09:59:43,$ 3211.00,148
14,09:59:41,$ 3211.00,100
15,09:59:41,$ 3211.00,100
16,09:59:40,$ 3211.00,100
17,09:59:15,$ 3212.29,100
18,09:59:09,$ 3212.01,100
19,09:59:05,$ 3212.52,100
20,09:59:03,$ 3212.98,100
22,09:59:03,$ 3213.00,200
23,09:58:55,$ 3213.445,100
24,09:58:31,$ 3212.69,100
25,09:58:29,$ 3213.03,100
26,09:58:25,$ 3213.68,100
27,09:58:24,$ 3214.50,100
28,09:58:19,$ 3212.9901,200
29,09:58:08,$ 3212.40,100
30,09:57:42,$ 3212.41,100
31,09:57:31,$ 3211.00,100
32,09:57:26,$ 3211.39,100
33,09:57:10,$ 3212.02,100
34,09:57:07,$ 3212.675,170
35,09:57:02,$ 3212.48,100
36,09:57:02,$ 3212.44,100
37,09:56:56,$ 3212.56,100
38,09:56:47,$ 3213.08,100
39,09:56:30,$ 3213.24,150
40,09:56:23,$ 3213.00,100
41,09:56:17,$ 3212.9378,140
43,09:56:13,$ 3212.97,100
44,09:56:10,$ 3213.3581,150
45,09:56:05,$ 3213.50,362
46,09:56:05,$ 3213.98,100
47,09:56:05,$ 3214.02,269
48,09:56:05,$ 3213.48,100
49,09:56:02,$ 3211.53,"1,000"
50,09:55:42,$ 3209.80,100
51,09:55:10,$ 3210.91,100
52,09:55:09,$ 3211.46,100
53,09:55:00,$ 3210.15,100
54,09:54:42,$ 3210.49,100
55,09:54:37,$ 3209.61,100
56,09:54:29,$ 3210.43,100
57,09:54:21,$ 3211.51,100
58,09:54:19,$ 3210.74,"1,986"
59,09:54:19,$ 3210.06,100
60,09:54:19,$ 3211.00,324
61,09:54:16,$ 3213.50,100
62,09:54:16,$ 3213.50,113
64,09:54:16,$ 3213.50,254
65,09:53:51,$ 3211.995,750
66,09:53:29,$ 3211.68,100
67,09:53:28,$ 3213.31,100
68,09:53:28,$ 3213.49,300
69,09:53:27,$ 3213.00,294
70,09:53:27,$ 3213.00,375
71,09:53:25,$ 3213.9104,200
72,09:52:58,$ 3213.00,"1,800"
73,09:52:58,$ 3213.00,170
74,09:52:58,$ 3212.50,100
75,09:52:58,$ 3212.51,100
76,09:52:54,$ 3213.30,100
77,09:52:45,$ 3211.93,100
78,09:52:45,$ 3211.91,100
79,09:52:42,$ 3211.91,100
80,09:52:41,$ 3211.75,100
81,09:52:39,$ 3211.78,100
82,09:52:39,$ 3211.80,100
83,09:52:39,$ 3212.12,100
85,09:52:33,$ 3212.49,100
86,09:52:28,$ 3212.6113,143
87,09:52:28,$ 3212.6113,307
88,09:52:21,$ 3213.85,100
89,09:52:18,$ 3213.4413,500
90,09:52:12,$ 3212.49,100
91,09:52:05,$ 3212.69,100
92,09:51:56,$ 3211.97,100
93,09:51:53,$ 3212.73,100
94,09:51:48,$ 3212.96,110
95,09:51:48,$ 3213.01,109
96,09:51:43,$ 3211.74,100
97,09:51:42,$ 3212.90,100
98,09:51:42,$ 3212.90,100
99,09:51:42,$ 3213.025,100
100,09:51:42,$ 3213.025,100
101,09:51:42,$ 3213.2475,100
102,09:51:37,$ 3213.01,100
103,09:51:25,$ 3213.57,100
104,09:51:25,$ 3213.80,100
106,09:51:22,$ 3214.34,100
107,09:50:59,$ 3215.87,100
108,09:50:50,$ 3215.38,100
109,09:50:49,$ 3215.22,169
110,09:50:24,$ 3216.17,100
111,09:50:17,$ 3216.17,121
112,09:50:08,$ 3216.5433,250
113,09:50:06,$ 3215.30,100
114,09:50:00,$ 3214.99,100
