,NLS Time (ET),NLS Price,NLS Share Volume
1,09:59:58,$ 3505.93,100
2,09:59:58,$ 3506.43,100
3,09:59:58,$ 3506.35,100
4,09:59:58,$ 3506.43,100
5,09:59:58,$ 3506.43,100
6,09:59:55,$ 3505.98,100
7,09:59:39,$ 3504.65,150
8,09:59:29,$ 3504.64,100
9,09:59:28,$ 3505.00,100
10,09:59:27,$ 3505.00,200
11,09:59:27,$ 3505.00,100
12,09:59:26,$ 3505.00,106
13,09:59:22,$ 3504.60,100
14,09:59:22,$ 3504.60,100
15,09:59:22,$ 3504.60,100
16,09:59:22,$ 3504.80,100
17,09:59:22,$ 3504.66,100
18,09:59:22,$ 3504.60,100
19,09:59:20,$ 3507.4399,500
20,09:59:19,$ 3505.05,100
22,09:59:19,$ 3505.00,100
23,09:59:17,$ 3504.01,100
24,09:59:14,$ 3504.15,100
25,09:59:09,$ 3503.27,100
26,09:59:06,$ 3503.49,100
27,09:59:05,$ 3503.63,100
28,09:59:05,$ 3503.63,100
29,09:59:02,$ 3503.99,100
30,09:58:54,$ 3503.6867,100
31,09:58:51,$ 3503.78,100
32,09:58:51,$ 3503.9187,100
33,09:58:41,$ 3503.05,100
34,09:58:34,$ 3504.52,100
35,09:58:34,$ 3504.36,100
36,09:58:34,$ 3504.23,100
37,09:58:28,$ 3503.6192,100
38,09:58:28,$ 3504.35,100
39,09:58:26,$ 3504.038,100
40,09:58:20,$ 3504.20,100
41,09:58:20,$ 3504.26,100
43,09:58:20,$ 3504.26,100
44,09:58:19,$ 3503.71,100
45,09:58:18,$ 3503.71,100
46,09:58:18,$ 3503.347,100
47,09:58:18,$ 3504.25,100
48,09:58:18,$ 3503.38,100
49,09:58:18,$ 3503.5082,184
50,09:58:18,$ 3504.38,100
51,09:58:17,$ 3503.71,100
52,09:58:17,$ 3503.835,100
53,09:58:17,$ 3504.00,100
54,09:58:11,$ 3503.42,100
55,09:57:58,$ 3503.145,100
56,09:57:58,$ 3503.30,100
57,09:57:58,$ 3502.995,100
58,09:57:57,$ 3503.51,100
59,09:57:57,$ 3503.44,100
60,09:57:56,$ 3502.72,214
61,09:57:54,$ 3502.59,125
62,09:57:51,$ 3502.40,125
64,09:57:51,$ 3502.62,148
65,09:57:51,$ 3501.84,400
66,09:57:50,$ 3501.26,100
67,09:57:50,$ 3501.8581,692
68,09:57:50,$ 3501.81,100
69,09:57:47,$ 3501.98,100
70,09:57:46,$ 3501.6053,200
71,09:57:41,$ 3501.125,100
72,09:57:41,$ 3501.105,100
73,09:57:32,$ 3500.59,100
74,09:57:32,$ 3500.65,100
75,09:57:31,$ 3500.68,222
76,09:57:28,$ 3501.13,100
77,09:57:27,$ 3500.99,137
78,09:57:26,$ 3500.68,100
79,09:57:26,$ 3500.68,109
80,09:57:24,$ 3500.675,100
81,09:57:22,$ 3500.6155,100
82,09:57:22,$ 3500.065,100
83,09:57:21,$ 3500.68,109
85,09:57:51,$ 3502.62,148
86,09:57:51,$ 3501.84,400
87,09:57:50,$ 3501.26,100
88,09:57:50,$ 3501.8581,692
89,09:57:50,$ 3501.81,100
90,09:57:47,$ 3501.98,100
91,09:57:46,$ 3501.6053,200
92,09:57:41,$ 3501.125,100
93,09:57:41,$ 3501.105,100
94,09:57:32,$ 3500.59,100
95,09:57:32,$ 3500.65,100
96,09:57:31,$ 3500.68,222
97,09:57:28,$ 3501.13,100
98,09:57:27,$ 3500.99,137
99,09:57:26,$ 3500.68,100
