,NLS Time (ET),NLS Price,NLS Share Volume
1,09:59:56,$ 3350.80,100
2,09:59:56,$ 3350.80,100
3,09:59:56,$ 3350.115,150
4,09:59:51,$ 3349.71,250
5,09:59:44,$ 3350.18,200
6,09:59:44,$ 3350.20,100
7,09:59:36,$ 3349.38,100
8,09:59:36,$ 3349.38,100
9,09:59:36,$ 3350.71,400
10,09:59:32,$ 3349.37,101
11,09:59:28,$ 3350.00,100
12,09:59:28,$ 3349.76,100
13,09:59:26,$ 3349.22,100
14,09:59:23,$ 3348.96,100
15,09:59:23,$ 3348.87,100
16,09:59:18,$ 3349.33,100
17,09:59:18,$ 3349.41,100
18,09:59:18,$ 3349.36,148
19,09:59:13,$ 3348.30,100
20,09:59:13,$ 3348.30,100
22,09:59:09,$ 3348.9538,100
23,09:59:08,$ 3348.04,100
24,09:59:06,$ 3348.04,160
25,09:59:06,$ 3348.75,150
26,09:59:04,$ 3348.63,100
27,09:59:04,$ 3348.64,100
28,09:59:04,$ 3348.64,100
29,09:59:02,$ 3348.255,100
30,09:59:02,$ 3348.255,100
31,09:59:02,$ 3348.41,200
32,09:59:02,$ 3347.88,100
33,09:58:56,$ 3348.61,146
34,09:58:53,$ 3347.814,300
35,09:58:46,$ 3346.86,100
36,09:58:46,$ 3345.79,100
37,09:58:46,$ 3345.56,100
38,09:58:44,$ 3346.88,100
39,09:58:44,$ 3346.846,100
40,09:58:43,$ 3346.61,100
41,09:58:42,$ 3346.33,100
43,09:58:40,$ 3345.95,100
44,09:58:40,$ 3346.03,100
45,09:58:39,$ 3345.105,100
46,09:58:39,$ 3345.18,100
47,09:58:39,$ 3345.00,100
48,09:58:39,$ 3345.005,100
49,09:58:39,$ 3345.29,100
50,09:58:33,$ 3346.00,100
51,09:58:28,$ 3346.7096,160
52,09:58:27,$ 3346.89,100
53,09:58:20,$ 3347.50,300
54,09:58:15,$ 3347.40,100
55,09:58:13,$ 3348.175,125
56,09:58:12,$ 3347.40,100
57,09:58:10,$ 3349.31,100
58,09:58:04,$ 3348.835,100
59,09:58:02,$ 3348.44,100
60,09:57:51,$ 3348.29,100
61,09:57:50,$ 3348.8479,100
62,09:57:46,$ 3348.45,100
64,09:57:46,$ 3348.34,100
65,09:57:46,$ 3348.43,166
66,09:57:46,$ 3348.44,142
67,09:57:46,$ 3347.99,132
68,09:57:33,$ 3347.5931,100
69,09:57:31,$ 3345.79,100
70,09:57:31,$ 3347.365,200
71,09:57:28,$ 3347.2909,400
72,09:57:25,$ 3348.39,390
73,09:57:25,$ 3348.39,100
74,09:57:24,$ 3349.30,100
75,09:57:20,$ 3349.38,100
76,09:57:20,$ 3349.39,100
77,09:57:13,$ 3348.7876,160
78,09:57:12,$ 3348.58,100
79,09:57:10,$ 3348.58,100
80,09:57:07,$ 3347.815,160
81,09:57:03,$ 3346.83,100
82,09:57:03,$ 3346.54,200
83,09:57:03,$ 3346.56,338
85,09:57:03,$ 3346.81,100
86,09:57:03,$ 3346.81,100
87,09:57:01,$ 3347.07,200
88,09:56:47,$ 3346.54,100
89,09:56:44,$ 3345.58,180
90,09:56:41,$ 3345.48,100
91,09:56:39,$ 3346.14,100
92,09:56:38,$ 3345.42,100
93,09:56:33,$ 3346.60,100
94,09:56:33,$ 3345.93,100
95,09:56:29,$ 3345.59,479
96,09:56:26,$ 3344.4034,160
97,09:56:14,$ 3344.76,100
98,09:56:14,$ 3344.76,850
99,09:56:14,$ 3344.76,140
100,09:56:07,$ 3344.01,100
101,09:56:07,$ 3344.06,100
102,09:56:05,$ 3343.67,125
103,09:56:04,$ 3342.45,100
104,09:56:04,$ 3342.10,100
106,09:56:03,$ 3341.215,200
107,09:56:03,$ 3341.33,100
108,09:56:02,$ 3341.29,100
109,09:55:48,$ 3342.13,123
110,09:55:42,$ 3342.34,200
111,09:55:42,$ 3341.56,100
112,09:55:42,$ 3342.00,100
113,09:55:40,$ 3341.12,100
114,09:55:38,$ 3340.485,100
115,09:55:38,$ 3340.56,151
116,09:55:38,$ 3340.00,100
117,09:55:37,$ 3341.575,100
118,09:55:37,$ 3341.575,100
119,09:55:32,$ 3341.583,259
120,09:55:32,$ 3341.583,222
121,09:55:29,$ 3342.00,100
122,09:55:29,$ 3341.22,100
123,09:55:29,$ 3341.17,100
124,09:55:29,$ 3341.17,300
125,09:55:28,$ 3341.99,"1,000"
127,09:55:26,$ 3341.10,100
128,09:55:23,$ 3340.21,100
129,09:55:23,$ 3340.00,123
130,09:55:23,$ 3340.00,100
131,09:55:23,$ 3340.00,100
132,09:55:16,$ 3341.626,100
133,09:55:16,$ 3340.63,100
134,09:55:15,$ 3341.59,200
135,09:55:12,$ 3341.00,100
136,09:55:11,$ 3341.13,100
137,09:55:11,$ 3341.845,160
138,09:55:11,$ 3341.40,100
139,09:55:11,$ 3341.56,100
140,09:55:06,$ 3342.53,160
141,09:55:06,$ 3342.195,100
142,09:55:04,$ 3342.01,149
143,09:55:02,$ 3343.75,100
144,09:55:02,$ 3343.42,182
145,09:55:02,$ 3342.87,200
146,09:54:58,$ 3343.46,100
148,09:54:57,$ 3343.2542,100
149,09:54:51,$ 3343.5583,100
150,09:54:50,$ 3344.7599,100
151,09:54:42,$ 3343.9338,105
152,09:54:37,$ 3344.03,160
153,09:54:36,$ 3343.75,100
154,09:54:30,$ 3343.68,100
155,09:54:30,$ 3343.35,100
156,09:54:30,$ 3343.35,100
157,09:54:30,$ 3343.368,100
158,09:54:29,$ 3343.75,100
159,09:54:22,$ 3343.422,100
160,09:54:22,$ 3342.90,100
161,09:54:22,$ 3342.58,100
162,09:54:22,$ 3342.59,100
163,09:54:22,$ 3342.52,100
164,09:54:22,$ 3342.07,100
165,09:54:22,$ 3341.90,100
166,09:54:22,$ 3341.84,100
167,09:54:22,$ 3341.705,100
169,09:54:22,$ 3341.62,100
170,09:54:22,$ 3341.84,100
171,09:54:22,$ 3341.69,100
172,09:54:21,$ 3341.69,100
173,09:54:19,$ 3341.28,140
174,09:54:19,$ 3340.82,152
175,09:54:18,$ 3340.855,100
176,09:54:18,$ 3341.345,100
177,09:54:15,$ 3341.20,100
178,09:54:15,$ 3340.51,100
179,09:54:14,$ 3342.50,500
180,09:54:12,$ 3340.525,100
181,09:54:12,$ 3340.48,100
182,09:54:10,$ 3341.1678,"1,000"
183,09:54:09,$ 3341.69,100
184,09:54:09,$ 3341.71,100
185,09:54:09,$ 3342.05,100
186,09:54:08,$ 3341.01,100
187,09:54:08,$ 3341.00,100
188,09:54:08,$ 3341.01,100
190,09:54:08,$ 3340.53,100
191,09:54:08,$ 3341.54,100
192,09:54:08,$ 3341.51,100
193,09:54:08,$ 3341.22,100
194,09:54:08,$ 3341.03,100
195,09:54:08,$ 3341.02,100
196,09:54:08,$ 3341.00,100
197,09:54:07,$ 3341.38,100
198,09:54:07,$ 3342.52,100
199,09:54:07,$ 3342.52,100
200,09:54:07,$ 3342.53,128
201,09:54:07,$ 3343.1883,160
202,09:54:04,$ 3342.145,100
203,09:54:04,$ 3343.01,300
204,09:54:04,$ 3343.01,100
205,09:54:01,$ 3343.22,190
206,09:54:00,$ 3343.81,100
207,09:54:00,$ 3343.81,100
208,09:53:56,$ 3344.76,100
209,09:53:56,$ 3344.76,200
211,09:53:52,$ 3343.98,100
212,09:53:50,$ 3344.75,160
213,09:53:50,$ 3344.66,100
214,09:53:48,$ 3344.00,100
215,09:53:45,$ 3344.52,100
216,09:53:44,$ 3344.545,100
217,09:53:44,$ 3345.50,100
218,09:53:38,$ 3347.01,100
219,09:53:34,$ 3347.34,100
220,09:53:32,$ 3346.835,142
221,09:53:27,$ 3346.9801,200
222,09:53:18,$ 3345.22,114
223,09:53:10,$ 3349.39,100
224,09:53:06,$ 3348.65,100
225,09:53:06,$ 3348.92,100
226,09:53:02,$ 3347.47,100
227,09:52:59,$ 3347.90,100
228,09:52:59,$ 3348.10,100
229,09:52:56,$ 3346.68,100
230,09:52:56,$ 3346.68,100
232,09:52:47,$ 3349.27,100
233,09:52:47,$ 3349.435,169
234,09:52:45,$ 3350.2043,831
235,09:52:36,$ 3347.74,100
236,09:52:36,$ 3347.715,100
237,09:52:36,$ 3347.715,100
238,09:52:36,$ 3348.40,100
239,09:52:33,$ 3348.14,100
240,09:52:32,$ 3348.765,100
241,09:52:31,$ 3347.305,100
242,09:52:27,$ 3346.35,160
243,09:52:27,$ 3346.97,100
244,09:52:25,$ 3345.0301,100
245,09:52:25,$ 3346.57,200
246,09:52:25,$ 3346.58,100
247,09:52:25,$ 3346.34,100
248,09:52:24,$ 3344.765,100
249,09:52:24,$ 3344.94,105
250,09:52:24,$ 3345.185,300
251,09:52:24,$ 3344.94,100
253,09:52:24,$ 3344.94,100
254,09:52:24,$ 3344.94,100
255,09:52:20,$ 3344.92,100
256,09:52:17,$ 3345.22,100
257,09:52:17,$ 3345.33,100
258,09:52:14,$ 3343.42,100
259,09:52:14,$ 3344.30,189
260,09:52:14,$ 3344.28,100
261,09:52:13,$ 3343.6871,195
262,09:52:13,$ 3343.6871,547
263,09:52:11,$ 3343.854,126
264,09:52:09,$ 3343.32,100
265,09:52:08,$ 3343.16,100
266,09:52:05,$ 3344.90,100
267,09:52:04,$ 3344.51,100
268,09:52:04,$ 3345.7099,100
269,09:52:03,$ 3344.635,100
270,09:51:59,$ 3345.325,100
271,09:51:57,$ 3346.00,100
272,09:51:57,$ 3344.11,100
274,09:51:57,$ 3344.065,100
275,09:51:57,$ 3345.10,160
276,09:51:56,$ 3345.92,400
277,09:51:55,$ 3345.00,100
278,09:51:54,$ 3345.19,100
279,09:51:53,$ 3345.73,100
280,09:51:51,$ 3345.60,100
281,09:51:51,$ 3345.53,100
282,09:51:51,$ 3345.56,100
