,NLS Time (ET),NLS Price,NLS Share Volume
1,09:59:54,$ 3351.905,100
2,09:59:45,$ 3353.00,217
3,09:59:45,$ 3353.00,212
4,09:59:45,$ 3353.20,100
5,09:59:42,$ 3353.87,100
6,09:59:42,$ 3353.73,200
7,09:59:17,$ 3353.88,100
8,09:59:07,$ 3354.0021,100
9,09:58:56,$ 3354.18,100
10,09:58:56,$ 3354.46,100
11,09:58:36,$ 3353.845,100
12,09:58:24,$ 3354.22,100
13,09:58:22,$ 3355.00,174
14,09:57:57,$ 3353.39,100
15,09:57:57,$ 3353.43,105
16,09:57:41,$ 3354.575,100
17,09:57:41,$ 3354.0025,100
18,09:57:41,$ 3353.265,100
19,09:57:23,$ 3353.2975,100
20,09:57:20,$ 3353.5201,100
22,09:57:02,$ 3352.33,100
23,09:56:36,$ 3352.09,100
24,09:56:31,$ 3351.86,100
25,09:56:06,$ 3352.12,150
26,09:56:00,$ 3352.475,100
27,09:56:00,$ 3353.575,400
28,09:56:00,$ 3352.96,100
29,09:55:57,$ 3352.21,100
30,09:55:40,$ 3352.98,100
31,09:55:36,$ 3353.14,100
32,09:55:16,$ 3353.82,100
33,09:55:15,$ 3352.52,100
34,09:55:14,$ 3353.37,100
35,09:55:14,$ 3354.195,100
36,09:55:07,$ 3354.00,100
37,09:55:06,$ 3354.21,200
38,09:55:06,$ 3354.03,100
39,09:55:06,$ 3354.46,100
40,09:55:06,$ 3354.89,105
41,09:54:53,$ 3355.35,100
43,09:54:43,$ 3356.98,100
44,09:54:23,$ 3356.995,100
45,09:54:23,$ 3356.40,100
46,09:54:23,$ 3356.43,100
47,09:54:10,$ 3357.90,132
48,09:54:08,$ 3357.85,100
49,09:54:07,$ 3357.00,100
50,09:54:07,$ 3357.00,100
51,09:54:06,$ 3356.59,100
52,09:54:06,$ 3356.74,100
53,09:54:06,$ 3356.77,100
54,09:54:06,$ 3356.90,100
55,09:54:06,$ 3356.90,100
56,09:54:02,$ 3355.26,100
57,09:53:54,$ 3356.6038,100
58,09:53:44,$ 3356.69,100
59,09:53:40,$ 3355.93,100
60,09:53:40,$ 3356.40,100
61,09:53:28,$ 3356.29,100
62,09:53:12,$ 3355.76,100
64,09:53:12,$ 3355.78,100
65,09:53:09,$ 3356.24,100
66,09:53:08,$ 3356.24,100
67,09:53:07,$ 3356.19,200
68,09:53:07,$ 3356.00,200
69,09:53:05,$ 3356.8999,100
70,09:52:56,$ 3356.60,100
71,09:52:56,$ 3356.57,100
72,09:52:52,$ 3356.02,100
73,09:52:51,$ 3356.005,100
74,09:52:51,$ 3356.005,100
75,09:52:51,$ 3355.99,100
76,09:52:45,$ 3355.57,100
77,09:52:45,$ 3356.135,100
78,09:52:45,$ 3355.57,100
79,09:52:43,$ 3356.12,100
80,09:52:39,$ 3355.745,100
81,09:52:36,$ 3356.18,100
82,09:52:36,$ 3356.67,100
83,09:52:35,$ 3355.99,100
85,09:52:35,$ 3355.43,115
86,09:52:34,$ 3355.00,128
87,09:52:18,$ 3354.2916,100
88,09:52:16,$ 3353.78,100
89,09:52:15,$ 3353.77,100
90,09:52:15,$ 3353.78,100
91,09:52:13,$ 3353.76,100
92,09:51:53,$ 3352.695,100
93,09:51:53,$ 3351.88,100
94,09:51:45,$ 3352.72,100
95,09:51:45,$ 3352.71,100
96,09:51:45,$ 3352.70,100
97,09:51:45,$ 3352.61,578
98,09:51:45,$ 3352.61,100
99,09:51:45,$ 3352.61,100
100,09:51:45,$ 3352.61,100
101,09:51:45,$ 3352.61,261
102,09:51:43,$ 3352.93,100
103,09:51:41,$ 3352.57,100
104,09:51:39,$ 3352.62,100
106,09:51:39,$ 3352.62,100
107,09:51:39,$ 3352.62,100
108,09:51:39,$ 3352.56,100
109,09:51:34,$ 3353.215,100
110,09:51:31,$ 3353.95,100
111,09:51:28,$ 3352.60,100
112,09:51:22,$ 3353.46,100
113,09:51:22,$ 3353.46,100
114,09:51:22,$ 3353.66,100
115,09:51:22,$ 3353.70,100
116,09:51:22,$ 3353.72,100
117,09:51:22,$ 3353.74,100
118,09:51:22,$ 3353.75,100
119,09:51:15,$ 3353.20,100
120,09:51:13,$ 3353.3975,100
121,09:51:05,$ 3352.45,100
122,09:51:05,$ 3352.45,100
123,09:51:05,$ 3352.45,100
124,09:51:05,$ 3352.45,100
125,09:51:02,$ 3352.46,100
127,09:51:01,$ 3351.35,100
128,09:51:01,$ 3351.935,100
129,09:50:59,$ 3351.51,100
130,09:50:47,$ 3352.69,100
131,09:50:47,$ 3353.30,200
132,09:50:42,$ 3353.3437,100
133,09:50:38,$ 3352.48,100
134,09:50:38,$ 3353.02,100
135,09:50:38,$ 3353.02,100
136,09:50:33,$ 3352.25,100
137,09:50:31,$ 3353.0546,100
138,09:50:27,$ 3353.055,100
139,09:50:27,$ 3353.055,100
140,09:50:27,$ 3353.9599,100
141,09:50:16,$ 3353.00,100
142,09:50:12,$ 3353.49,100
143,09:50:11,$ 3353.00,280
144,09:50:11,$ 3353.02,100
145,09:50:08,$ 3353.44,100
146,09:50:07,$ 3353.00,134
148,09:50:03,$ 3352.64,100
149,09:49:50,$ 3352.80,100
150,09:49:50,$ 3352.96,100
151,09:49:50,$ 3352.96,100
152,09:49:44,$ 3353.395,100
153,09:49:41,$ 3352.30,100
154,09:49:40,$ 3351.87,100
155,09:49:27,$ 3351.41,100
156,09:49:16,$ 3352.58,500
157,09:49:12,$ 3351.74,100
158,09:49:06,$ 3352.52,100
159,09:49:06,$ 3352.98,100
160,09:49:06,$ 3352.52,100
161,09:48:59,$ 3353.79,100
162,09:48:47,$ 3353.33,100
163,09:48:47,$ 3353.76,100
164,09:48:47,$ 3353.88,100
165,09:48:42,$ 3352.62,100
166,09:48:38,$ 3353.62,100
167,09:48:38,$ 3354.46,100
169,09:48:38,$ 3354.07,100
170,09:48:35,$ 3354.945,100
171,09:48:35,$ 3355.6366,100
172,09:48:33,$ 3354.935,100
173,09:48:20,$ 3355.5858,104
174,09:48:13,$ 3354.875,100
175,09:48:02,$ 3354.17,100
176,09:47:59,$ 3353.03,100
177,09:47:52,$ 3352.52,198
178,09:47:51,$ 3353.56,100
179,09:47:49,$ 3354.29,100
180,09:47:45,$ 3354.18,100
181,09:47:45,$ 3353.15,100
182,09:47:45,$ 3353.10,100
183,09:47:45,$ 3354.12,100
184,09:47:45,$ 3354.23,100
185,09:47:39,$ 3354.1301,370
186,09:47:31,$ 3355.00,100
187,09:47:31,$ 3355.00,100
188,09:47:26,$ 3353.70,100
190,09:47:14,$ 3354.19,100
191,09:47:14,$ 3354.14,100
192,09:47:14,$ 3354.14,100
193,09:47:05,$ 3353.6633,100
194,09:46:56,$ 3355.33,100
195,09:46:53,$ 3355.26,100
196,09:46:49,$ 3356.24,100
197,09:46:49,$ 3355.88,100
198,09:46:49,$ 3356.00,188
199,09:46:49,$ 3355.52,100
200,09:46:43,$ 3355.98,100
201,09:46:42,$ 3355.07,100
202,09:46:40,$ 3355.0256,100
203,09:46:39,$ 3355.66,100
204,09:46:39,$ 3355.61,100
205,09:46:39,$ 3355.31,100
206,09:46:39,$ 3355.31,100
207,09:46:39,$ 3355.40,100
208,09:46:39,$ 3355.23,100
209,09:46:39,$ 3354.50,100
211,09:46:39,$ 3354.53,100
212,09:46:39,$ 3354.84,100
213,09:46:39,$ 3354.93,100
214,09:46:39,$ 3354.73,100
215,09:46:36,$ 3355.52,100
216,09:46:35,$ 3355.78,195
217,09:46:35,$ 3355.78,185
218,09:46:35,$ 3355.77,100
219,09:46:35,$ 3355.76,100
220,09:46:35,$ 3355.205,100
221,09:46:35,$ 3355.963,100
222,09:46:35,$ 3355.68,100
223,09:46:35,$ 3355.00,345
224,09:46:13,$ 3352.105,100
225,09:46:08,$ 3351.9016,100
226,09:46:05,$ 3352.38,100
227,09:45:58,$ 3351.98,100
228,09:45:56,$ 3352.11,100
229,09:45:49,$ 3350.3101,100
230,09:45:33,$ 3351.475,100
232,09:45:33,$ 3351.91,100
233,09:45:33,$ 3351.00,200
234,09:45:33,$ 3351.00,115
235,09:45:33,$ 3351.27,100
236,09:45:33,$ 3352.08,100
237,09:45:26,$ 3352.78,100
238,09:45:26,$ 3352.705,100
239,09:45:26,$ 3352.61,100
240,09:45:26,$ 3352.71,100
241,09:45:26,$ 3352.71,100
242,09:45:26,$ 3352.00,100
243,09:45:10,$ 3353.00,600
244,09:45:10,$ 3352.84,100
245,09:45:10,$ 3353.00,100
246,09:45:06,$ 3351.73,100
247,09:45:04,$ 3352.285,100
248,09:45:04,$ 3352.285,100
249,09:45:04,$ 3352.285,100
250,09:45:04,$ 3351.74,100
251,09:45:04,$ 3352.285,100
253,09:45:04,$ 3351.73,100
254,09:45:04,$ 3351.73,100
255,09:45:00,$ 3352.29,100
256,09:44:58,$ 3352.36,100
257,09:44:57,$ 3352.36,100
258,09:44:52,$ 3352.36,100
259,09:44:50,$ 3352.79,100
260,09:44:50,$ 3352.60,100
261,09:44:50,$ 3352.77,100
262,09:44:49,$ 3352.0588,100
263,09:44:48,$ 3352.64,100
264,09:44:37,$ 3352.66,100
265,09:44:34,$ 3351.40,100
266,09:44:34,$ 3351.51,100
267,09:44:34,$ 3351.66,100
268,09:44:34,$ 3351.50,100
269,09:44:34,$ 3351.74,100
270,09:44:23,$ 3351.575,100
271,09:44:23,$ 3351.63,106
272,09:44:05,$ 3349.83,100
274,09:43:59,$ 3349.00,100
275,09:43:59,$ 3349.00,100
276,09:43:40,$ 3350.01,200
277,09:43:33,$ 3351.0691,100
278,09:43:32,$ 3350.735,100
279,09:43:31,$ 3351.2741,100
280,09:43:29,$ 3351.42,100
281,09:43:27,$ 3350.35,100
282,09:43:24,$ 3351.6499,"5,000"
283,09:43:24,$ 3350.00,103
284,09:43:24,$ 3350.00,100
285,09:43:24,$ 3350.29,100
286,09:43:23,$ 3349.27,100
287,09:43:20,$ 3348.86,100
288,09:43:20,$ 3348.80,200
289,09:43:20,$ 3348.67,100
290,09:43:20,$ 3348.67,100
291,09:43:20,$ 3348.67,100
292,09:43:19,$ 3348.811,100
293,09:43:15,$ 3348.24,100
295,09:43:01,$ 3349.30,100
296,09:43:00,$ 3347.95,100
297,09:42:51,$ 3347.34,100
298,09:42:42,$ 3348.47,100
299,09:42:39,$ 3348.80,100
300,09:42:39,$ 3349.00,100
301,09:42:39,$ 3349.00,165
302,09:42:38,$ 3348.71,100
303,09:42:35,$ 3348.09,100
304,09:42:35,$ 3348.07,100
305,09:42:28,$ 3347.72,100
306,09:42:28,$ 3347.76,100
307,09:42:28,$ 3347.1936,100
308,09:42:25,$ 3347.65,100
309,09:42:15,$ 3346.95,100
310,09:42:08,$ 3348.988,116
311,09:41:35,$ 3348.28,100
312,09:41:27,$ 3347.21,100
313,09:41:27,$ 3347.21,100
314,09:41:09,$ 3346.31,300
316,09:41:08,$ 3345.62,100
317,09:41:03,$ 3344.965,100
318,09:41:03,$ 3345.48,100
319,09:41:02,$ 3345.47,100
320,09:41:02,$ 3345.60,100
321,09:41:02,$ 3345.13,100
322,09:41:01,$ 3344.841,250
323,09:40:52,$ 3344.425,100
324,09:40:37,$ 3345.84,100
325,09:40:36,$ 3344.34,100
326,09:40:30,$ 3344.83,100
327,09:40:26,$ 3344.225,100
328,09:40:19,$ 3344.325,100
329,09:40:14,$ 3344.345,100
330,09:40:13,$ 3344.345,100
331,09:40:13,$ 3344.345,200
332,09:40:13,$ 3344.345,100
333,09:40:12,$ 3344.34,100
334,09:39:57,$ 3343.50,116
335,09:39:52,$ 3343.315,100
337,09:39:52,$ 3343.08,100
338,09:39:52,$ 3343.315,100
339,09:39:52,$ 3343.08,100
340,09:39:50,$ 3343.47,100
341,09:39:50,$ 3343.50,100
342,09:39:49,$ 3344.035,100
343,09:39:49,$ 3344.035,100
344,09:39:49,$ 3344.035,100
345,09:39:49,$ 3344.035,100
346,09:39:49,$ 3344.035,100
347,09:39:47,$ 3344.505,100
348,09:39:47,$ 3344.12,100
349,09:39:46,$ 3344.565,100
350,09:39:46,$ 3344.565,100
351,09:39:46,$ 3344.565,100
352,09:39:46,$ 3344.76,100
353,09:39:46,$ 3344.76,100
354,09:39:46,$ 3344.76,100
355,09:39:46,$ 3344.76,100
356,09:39:46,$ 3344.22,100
358,09:39:46,$ 3344.12,100
359,09:39:37,$ 3345.53,100
360,09:39:33,$ 3344.345,100
361,09:39:26,$ 3345.3599,250
362,09:39:04,$ 3344.99,115
363,09:39:03,$ 3345.15,100
364,09:38:52,$ 3346.66,185
365,09:38:52,$ 3346.66,100
366,09:38:52,$ 3346.66,100
367,09:38:52,$ 3346.67,100
368,09:38:45,$ 3345.83,100
369,09:38:40,$ 3344.915,100
370,09:38:40,$ 3344.89,100
371,09:38:40,$ 3345.01,100
372,09:38:40,$ 3345.00,100
373,09:38:36,$ 3345.68,118
374,09:38:35,$ 3346.02,100
375,09:38:31,$ 3345.01,100
376,09:38:20,$ 3344.89,100
377,09:38:11,$ 3346.00,100
379,09:38:11,$ 3346.00,120
380,09:38:11,$ 3346.00,108
381,09:37:59,$ 3345.54,100
382,09:37:50,$ 3346.36,109
383,09:37:50,$ 3347.68,100
384,09:37:48,$ 3347.68,100
385,09:37:40,$ 3346.18,119
386,09:37:35,$ 3345.08,100
387,09:37:35,$ 3345.08,100
388,09:37:34,$ 3344.67,100
389,09:37:24,$ 3344.96,100
390,09:37:17,$ 3344.685,100
391,09:36:57,$ 3343.80,100
392,09:36:42,$ 3343.36,100
393,09:36:41,$ 3343.195,100
394,09:36:39,$ 3343.135,100
395,09:36:39,$ 3342.40,118
396,09:36:36,$ 3344.95,100
397,09:36:36,$ 3344.79,100
398,09:36:36,$ 3344.62,100
400,09:36:36,$ 3344.54,100
401,09:36:25,$ 3344.875,100
402,09:36:24,$ 3345.38,100
403,09:36:13,$ 3346.58,100
404,09:36:02,$ 3347.50,100
405,09:35:58,$ 3345.32,100
406,09:35:57,$ 3345.13,100
407,09:35:57,$ 3345.10,100
408,09:35:43,$ 3345.705,100
409,09:35:40,$ 3345.53,100
410,09:35:40,$ 3345.25,100
411,09:35:36,$ 3343.945,200
412,09:35:36,$ 3343.945,100
413,09:35:36,$ 3343.84,100
414,09:35:36,$ 3343.84,100
415,09:35:36,$ 3343.84,100
416,09:35:36,$ 3343.84,100
417,09:35:36,$ 3343.84,100
418,09:35:36,$ 3343.84,100
419,09:35:36,$ 3343.84,100
421,09:35:35,$ 3342.86,100
422,09:35:31,$ 3342.82,100
423,09:35:31,$ 3342.82,100
424,09:35:31,$ 3342.13,100
425,09:35:25,$ 3344.33,250
426,09:35:21,$ 3342.53,100
427,09:35:16,$ 3343.7963,160
428,09:35:15,$ 3344.10,100
429,09:35:15,$ 3344.86,100
430,09:35:15,$ 3344.525,100
431,09:35:15,$ 3343.86,100
432,09:35:15,$ 3345.13,100
433,09:35:15,$ 3345.13,100
434,09:35:15,$ 3344.15,100
435,09:35:15,$ 3344.985,100
436,09:35:15,$ 3345.12,100
437,09:35:15,$ 3345.13,100
438,09:35:15,$ 3345.13,100
439,09:35:14,$ 3344.655,100
440,09:35:11,$ 3343.2601,100
442,09:35:11,$ 3346.1784,100
443,09:35:10,$ 3345.04,100
444,09:35:10,$ 3345.78,100
445,09:35:08,$ 3345.87,100
446,09:35:00,$ 3348.30,100
447,09:35:00,$ 3346.41,100
448,09:34:59,$ 3343.75,100
449,09:34:35,$ 3342.17,100
450,09:34:33,$ 3342.2099,100
451,09:34:19,$ 3342.16,100
452,09:34:19,$ 3342.21,100
453,09:34:09,$ 3341.26,104
454,09:34:05,$ 3341.80,100
455,09:33:58,$ 3341.56,200
456,09:33:58,$ 3341.80,100
457,09:33:58,$ 3341.29,100
458,09:33:58,$ 3341.66,100
459,09:33:53,$ 3341.51,100
460,09:33:53,$ 3341.24,100
461,09:33:53,$ 3341.23,100
463,09:33:53,$ 3341.26,100
464,09:33:53,$ 3340.75,100
465,09:33:53,$ 3341.21,100
466,09:33:53,$ 3341.32,100
467,09:33:52,$ 3341.31,100
468,09:33:52,$ 3341.31,100
469,09:33:51,$ 3341.80,100
470,09:33:51,$ 3341.80,100
471,09:33:51,$ 3341.33,100
472,09:33:51,$ 3341.80,100
473,09:33:50,$ 3341.80,100
474,09:33:50,$ 3341.80,100
475,09:33:50,$ 3341.80,100
476,09:33:50,$ 3341.80,200
477,09:33:50,$ 3341.11,100
478,09:33:50,$ 3341.12,100
479,09:33:50,$ 3341.80,100
480,09:33:50,$ 3341.80,100
481,09:33:49,$ 3341.68,100
482,09:33:49,$ 3341.765,121
484,09:33:49,$ 3341.765,200
485,09:33:49,$ 3341.44,100
486,09:33:48,$ 3341.80,120
487,09:33:37,$ 3341.47,100
488,09:33:37,$ 3341.47,100
489,09:33:37,$ 3341.80,100
490,09:33:19,$ 3340.90,100
491,09:33:19,$ 3340.86,100
492,09:33:18,$ 3341.61,100
493,09:33:18,$ 3341.61,100
494,09:33:16,$ 3341.80,100
495,09:33:13,$ 3342.00,105
496,09:33:10,$ 3341.80,100
497,09:33:09,$ 3343.23,100
498,09:33:08,$ 3341.93,100
499,09:33:08,$ 3341.98,100
500,09:33:08,$ 3340.495,100
501,09:32:47,$ 3340.9775,100
502,09:32:47,$ 3341.335,200
503,09:32:43,$ 3341.195,150
505,09:32:42,$ 3340.94,100
506,09:32:33,$ 3340.80,100
507,09:32:24,$ 3340.68,100
508,09:32:21,$ 3339.02,100
509,09:32:21,$ 3339.91,100
510,09:32:21,$ 3339.66,100
511,09:32:21,$ 3339.66,100
512,09:32:21,$ 3339.66,100
513,09:32:06,$ 3340.00,100
514,09:32:05,$ 3339.14,100
515,09:32:05,$ 3340.00,100
516,09:32:05,$ 3340.00,100
517,09:32:05,$ 3339.96,100
518,09:32:05,$ 3340.00,123
519,09:32:03,$ 3340.865,100
520,09:32:00,$ 3341.08,100
521,09:32:00,$ 3342.00,100
522,09:32:00,$ 3341.87,100
523,09:31:59,$ 3343.14,100
524,09:31:56,$ 3343.89,100
526,09:31:56,$ 3343.05,115
527,09:31:56,$ 3343.06,100
528,09:31:56,$ 3343.21,100
529,09:31:56,$ 3344.475,100
530,09:31:52,$ 3345.90,100
531,09:31:36,$ 3345.59,100
532,09:31:36,$ 3345.64,100
533,09:31:36,$ 3345.65,100
534,09:31:32,$ 3345.90,100
535,09:31:32,$ 3345.80,100
536,09:31:30,$ 3345.34,100
537,09:31:30,$ 3345.90,100
538,09:31:30,$ 3345.34,100
539,09:31:18,$ 3345.435,150
540,09:31:18,$ 3345.90,100
541,09:31:18,$ 3345.16,100
542,09:31:18,$ 3345.13,100
543,09:31:17,$ 3346.55,100
544,09:31:17,$ 3346.495,100
545,09:31:00,$ 3348.05,100
547,09:31:00,$ 3348.00,135
548,09:31:00,$ 3347.54,100
549,09:31:00,$ 3347.56,100
550,09:30:59,$ 3347.2299,100
551,09:30:59,$ 3347.23,247
552,09:30:53,$ 3346.395,100
553,09:30:51,$ 3347.23,100
554,09:30:44,$ 3345.90,100
555,09:30:44,$ 3345.98,100
556,09:30:40,$ 3344.50,100
557,09:30:26,$ 3343.94,100
558,09:30:26,$ 3343.98,100
559,09:30:26,$ 3343.98,100
560,09:30:26,$ 3343.99,100
561,09:30:26,$ 3344.03,294
562,09:30:26,$ 3344.03,100
563,09:30:24,$ 3343.61,100
564,09:30:24,$ 3343.55,100
565,09:30:23,$ 3343.28,120
566,09:30:22,$ 3343.62,100
568,09:30:21,$ 3343.04,100
569,09:30:21,$ 3343.04,100
570,09:30:21,$ 3343.865,200
571,09:30:21,$ 3343.865,100
572,09:30:21,$ 3343.02,100
573,09:30:21,$ 3344.27,100
574,09:30:21,$ 3343.56,100
575,09:30:21,$ 3343.74,100
576,09:30:20,$ 3344.275,100
577,09:30:20,$ 3344.275,100
578,09:30:20,$ 3343.756,100
579,09:30:20,$ 3343.69,100
580,09:30:19,$ 3344.445,100
581,09:30:19,$ 3344.445,100
582,09:30:19,$ 3344.54,100
583,09:30:19,$ 3343.84,100
584,09:30:19,$ 3344.515,200
585,09:30:19,$ 3343.89,100
586,09:30:19,$ 3344.555,172
587,09:30:19,$ 3343.89,100
589,09:30:19,$ 3344.395,100
590,09:30:19,$ 3344.395,100
591,09:30:13,$ 3344.5525,100
592,09:30:12,$ 3344.5625,100
593,09:30:12,$ 3344.5625,100
594,09:30:12,$ 3344.585,100
595,09:30:12,$ 3344.585,100
596,09:30:10,$ 3344.6125,100
597,09:30:10,$ 3344.455,100
598,09:30:07,$ 3344.47,100
599,09:30:07,$ 3344.70,101
600,09:30:07,$ 3344.90,100
601,09:30:07,$ 3344.90,101
602,09:30:07,$ 3344.90,100
603,09:30:07,$ 3345.475,100
604,09:30:05,$ 3345.25,100
605,09:30:05,$ 3345.04,100
606,09:30:04,$ 3345.00,100
607,09:30:03,$ 3345.64,100
608,09:30:03,$ 3346.38,100
610,09:30:03,$ 3344.91,100
611,09:30:02,$ 3345.01,5
612,09:30:02,$ 3345.01,2
613,09:30:02,$ 3345.01,3
614,09:30:02,$ 3345.01,1
615,09:30:02,$ 3345.01,3
616,09:30:02,$ 3345.01,1
617,09:30:02,$ 3345.01,1
618,09:30:02,$ 3345.01,2
619,09:30:02,$ 3345.01,10
620,09:30:02,$ 3345.01,10
621,09:30:02,$ 3345.01,2
622,09:30:02,$ 3345.01,5
623,09:30:02,$ 3345.01,5
624,09:30:02,$ 3345.01,3
625,09:30:02,$ 3345.01,1
626,09:30:02,$ 3345.01,10
627,09:30:02,$ 3345.01,1
628,09:30:02,$ 3345.01,1
629,09:30:02,$ 3345.01,1
631,09:30:02,$ 3345.01,1
632,09:30:02,$ 3345.01,4
633,09:30:02,$ 3345.01,1
634,09:30:02,$ 3345.01,1
635,09:30:02,$ 3345.01,2
636,09:30:02,$ 3345.01,4
637,09:30:02,$ 3345.01,8
638,09:30:02,$ 3345.01,1
639,09:30:02,$ 3345.01,1
640,09:30:02,$ 3345.01,2
641,09:30:02,$ 3345.01,2
642,09:30:02,$ 3345.01,1
643,09:30:02,$ 3345.01,1
644,09:30:02,$ 3345.01,1
645,09:30:02,$ 3345.01,1
646,09:30:02,$ 3345.01,1
647,09:30:02,$ 3345.01,1
648,09:30:02,$ 3345.01,1
649,09:30:02,$ 3345.01,2
650,09:30:02,$ 3345.01,1
652,09:30:02,$ 3345.01,1
653,09:30:02,$ 3345.01,1
654,09:30:02,$ 3345.01,1
655,09:30:02,$ 3345.01,1
656,09:30:02,$ 3345.01,1
657,09:30:02,$ 3345.01,1
658,09:30:02,$ 3345.01,1
659,09:30:02,$ 3345.01,1
660,09:30:02,$ 3345.01,1
661,09:30:02,$ 3345.01,1
662,09:30:02,$ 3345.01,1
663,09:30:02,$ 3345.01,1
664,09:30:02,$ 3345.01,1
665,09:30:02,$ 3345.01,1
666,09:30:02,$ 3345.01,1
667,09:30:02,$ 3345.01,1
668,09:30:02,$ 3345.01,1
669,09:30:02,$ 3345.01,2
670,09:30:02,$ 3345.01,1
671,09:30:02,$ 3345.01,1
673,09:30:02,$ 3345.01,59
674,09:30:02,$ 3345.01,15
675,09:30:02,$ 3345.01,1
676,09:30:02,$ 3345.01,3
677,09:30:02,$ 3345.01,1
678,09:30:02,$ 3345.01,1
679,09:30:02,$ 3345.01,1
680,09:30:02,$ 3345.01,1
681,09:30:02,$ 3345.01,9
682,09:30:02,$ 3345.01,14
683,09:30:02,$ 3345.01,3
684,09:30:02,$ 3345.01,1
685,09:30:02,$ 3345.01,6
686,09:30:02,$ 3345.01,2
687,09:30:02,$ 3345.01,1
688,09:30:02,$ 3345.01,5
689,09:30:02,$ 3345.01,1
690,09:30:02,$ 3345.01,1
691,09:30:02,$ 3345.01,2
692,09:30:02,$ 3345.01,1
694,09:30:02,$ 3345.01,1
695,09:30:02,$ 3345.01,2
696,09:30:02,$ 3345.01,4
697,09:30:02,$ 3345.01,5
698,09:30:02,$ 3345.01,20
699,09:30:02,$ 3345.01,5
700,09:30:02,$ 3345.01,7
701,09:30:02,$ 3345.01,4
702,09:30:02,$ 3345.01,3
703,09:30:02,$ 3345.01,10
704,09:30:02,$ 3345.01,1
705,09:30:02,$ 3345.01,10
706,09:30:02,$ 3345.01,8
