,NLS Time (ET),NLS Price,NLS Share Volume
1,09:59:59,$ 3478.555,100
2,09:59:51,$ 3477.82,100
3,09:59:51,$ 3478.68,113
4,09:59:51,$ 3478.75,100
5,09:59:26,$ 3478.30,155
6,09:59:26,$ 3478.31,100
7,09:59:22,$ 3476.73,100
8,09:59:22,$ 3477.25,100
9,09:59:22,$ 3477.25,100
10,09:59:20,$ 3478.00,300
11,09:59:11,$ 3480.05,100
12,09:59:11,$ 3480.80,100
13,09:59:08,$ 3480.90,100
14,09:58:57,$ 3481.63,520
15,09:58:54,$ 3482.10,273
16,09:58:54,$ 3482.10,100
17,09:58:52,$ 3482.1949,300
18,09:58:40,$ 3482.96,100
19,09:58:23,$ 3483.43,100
20,09:58:23,$ 3482.96,100
22,09:58:23,$ 3482.96,100
23,09:58:23,$ 3482.96,100
24,09:58:23,$ 3482.96,100
25,09:58:23,$ 3482.96,100
26,09:58:06,$ 3484.69,100
27,09:57:54,$ 3483.82,100
28,09:57:54,$ 3484.25,100
29,09:57:54,$ 3484.33,100
30,09:57:54,$ 3484.00,125
31,09:57:54,$ 3484.00,107
32,09:57:54,$ 3485.33,100
33,09:57:52,$ 3486.035,100
34,09:57:49,$ 3485.68,100
35,09:57:49,$ 3485.68,100
36,09:57:44,$ 3485.87,100
37,09:57:33,$ 3487.46,209
38,09:57:32,$ 3487.00,100
39,09:57:32,$ 3487.00,100
40,09:57:32,$ 3487.00,100
41,09:57:32,$ 3487.00,100
43,09:57:27,$ 3487.00,100
44,09:57:27,$ 3487.00,100
45,09:57:25,$ 3487.215,200
46,09:57:21,$ 3486.8812,150
47,09:57:18,$ 3488.49,100
48,09:57:17,$ 3487.67,100
49,09:57:12,$ 3487.4714,150
50,09:57:10,$ 3487.34,100
51,09:57:09,$ 3487.94,200
52,09:57:08,$ 3487.855,100
53,09:57:04,$ 3487.00,104
54,09:57:04,$ 3487.00,100
55,09:57:04,$ 3487.00,244
56,09:57:00,$ 3485.82,100
57,09:56:56,$ 3485.48,100
58,09:56:50,$ 3485.50,100
59,09:56:50,$ 3485.50,100
60,09:56:50,$ 3485.50,100
61,09:56:50,$ 3485.50,100
62,09:56:47,$ 3486.4105,250
64,09:56:44,$ 3486.23,100
65,09:56:44,$ 3485.82,100
66,09:56:42,$ 3485.39,100
67,09:56:40,$ 3484.80,100
68,09:56:40,$ 3484.84,100
69,09:56:40,$ 3485.51,100
70,09:56:38,$ 3485.42,100
71,09:56:38,$ 3485.39,100
72,09:56:34,$ 3484.79,100
73,09:56:29,$ 3485.41,100
74,09:56:29,$ 3485.42,100
75,09:56:28,$ 3484.96,100
76,09:56:22,$ 3484.68,100
